corruption,category,severity,is_drift,p_val,distance,device,n_reference,n_target
blur/defocus_blur_sev_1,blur,1,True,0.0,0.00021606683731079102,cuda,10000,10000
digital/elastic_transform_sev_4,digital,4,True,0.0,0.008293747901916504,cuda,10000,10000
digital/elastic_transform_sev_5,digital,5,True,0.0,0.07400751113891602,cuda,10000,10000
weather/snow_sev_4,weather,4,True,0.0,0.004966318607330322,cuda,10000,10000
digital/pixelate_sev_2,digital,2,True,0.0,0.0002480149269104004,cuda,10000,10000
digital/pixelate_sev_3,digital,3,True,0.0,0.0004807710647583008,cuda,10000,10000
digital/pixelate_sev_4,digital,4,True,0.0,0.002049386501312256,cuda,10000,10000
digital/pixelate_sev_5,digital,5,True,0.0,0.012608945369720459,cuda,10000,10000
noise/gaussian_noise_sev_2,noise,2,True,0.0,0.0005068182945251465,cuda,10000,10000
noise/gaussian_noise_sev_3,noise,3,True,0.0,0.002484560012817383,cuda,10000,10000
noise/gaussian_noise_sev_4,noise,4,True,0.0,0.010959446430206299,cuda,10000,10000
noise/gaussian_noise_sev_5,noise,5,True,0.0,0.06824487447738647,cuda,10000,10000
noise/impulse_noise_sev_1,noise,1,True,0.0,0.000370025634765625,cuda,10000,10000
noise/impulse_noise_sev_2,noise,2,True,0.0,0.0014339089393615723,cuda,10000,10000
digital/elastic_transform_sev_3,digital,3,True,0.0,0.0016904473304748535,cuda,10000,10000
noise/impulse_noise_sev_3,noise,3,True,0.0,0.003959476947784424,cuda,10000,10000
noise/impulse_noise_sev_5,noise,5,True,0.0,0.08403146266937256,cuda,10000,10000
noise/shot_noise_sev_2,noise,2,True,0.0,0.0005339980125427246,cuda,10000,10000
noise/shot_noise_sev_3,noise,3,True,0.0,0.0028255581855773926,cuda,10000,10000
noise/shot_noise_sev_4,noise,4,True,0.0,0.015545547008514404,cuda,10000,10000
noise/shot_noise_sev_5,noise,5,True,0.0,0.04333537817001343,cuda,10000,10000
weather/fog_sev_5,weather,5,True,0.0,0.002055823802947998,cuda,10000,10000
weather/frost_sev_2,weather,2,True,0.0,0.0004483461380004883,cuda,10000,10000
weather/frost_sev_3,weather,3,True,0.0,0.0016371607780456543,cuda,10000,10000
weather/frost_sev_4,weather,4,True,0.0,0.0020424723625183105,cuda,10000,10000
weather/frost_sev_5,weather,5,True,0.0,0.0042501091957092285,cuda,10000,10000
weather/snow_sev_1,weather,1,True,0.0,0.00032782554626464844,cuda,10000,10000
weather/snow_sev_2,weather,2,True,0.0,0.0010486841201782227,cuda,10000,10000
weather/snow_sev_3,weather,3,True,0.0,0.0031792521476745605,cuda,10000,10000
noise/impulse_noise_sev_4,noise,4,True,0.0,0.021547675132751465,cuda,10000,10000
digital/elastic_transform_sev_2,digital,2,True,0.0,0.0010669827461242676,cuda,10000,10000
weather/snow_sev_5,weather,5,True,0.0,0.013307034969329834,cuda,10000,10000
digital/contrast_sev_5,digital,5,True,0.0,0.002943575382232666,cuda,10000,10000
blur/defocus_blur_sev_2,blur,2,True,0.0,0.0003153681755065918,cuda,10000,10000
blur/defocus_blur_sev_3,blur,3,True,0.0,0.0004977583885192871,cuda,10000,10000
blur/defocus_blur_sev_4,blur,4,True,0.0,0.0009176135063171387,cuda,10000,10000
blur/defocus_blur_sev_5,blur,5,True,0.0,0.0022034049034118652,cuda,10000,10000
blur/glass_blur_sev_1,blur,1,True,0.0,0.000217437744140625,cuda,10000,10000
blur/glass_blur_sev_2,blur,2,True,0.0,0.003066539764404297,cuda,10000,10000
blur/glass_blur_sev_3,blur,3,True,0.0,0.017571866512298584,cuda,10000,10000
blur/glass_blur_sev_4,blur,4,True,0.0,0.03211551904678345,cuda,10000,10000
blur/glass_blur_sev_5,blur,5,True,0.0,0.02384793758392334,cuda,10000,10000
blur/motion_blur_sev_3,blur,3,True,0.0,0.0012950897216796875,cuda,10000,10000
blur/motion_blur_sev_4,blur,4,True,0.0,0.009903192520141602,cuda,10000,10000
blur/zoom_blur_sev_1,blur,1,True,0.0,0.0005965828895568848,cuda,10000,10000
blur/zoom_blur_sev_2,blur,2,True,0.0,0.002099156379699707,cuda,10000,10000
blur/zoom_blur_sev_3,blur,3,True,0.0,0.0017407536506652832,cuda,10000,10000
blur/zoom_blur_sev_4,blur,4,True,0.0,0.0026657581329345703,cuda,10000,10000
blur/motion_blur_sev_5,blur,5,True,0.0,0.02291250228881836,cuda,10000,10000
digital/contrast_sev_4,digital,4,True,0.0,0.0005464553833007812,cuda,10000,10000
digital/brightness_sev_5,digital,5,True,0.0,0.0002675652503967285,cuda,10000,10000
blur/zoom_blur_sev_5,blur,5,True,0.0,0.0012984871864318848,cuda,10000,10000
digital/jpeg_compression_sev_1,digital,1,False,0.05000000074505806,0.00013631582260131836,cuda,10000,10000
digital/jpeg_compression_sev_4,digital,4,False,0.05000000074505806,0.00021654367446899414,cuda,10000,10000
digital/jpeg_compression_sev_5,digital,5,False,0.05000000074505806,0.0001519322395324707,cuda,10000,10000
digital/jpeg_compression_sev_3,digital,3,False,0.10000000149011612,0.00019615888595581055,cuda,10000,10000
digital/brightness_sev_2,digital,2,False,0.10000000149011612,6.467103958129883e-05,cuda,10000,10000
digital/brightness_sev_3,digital,3,False,0.10000000149011612,4.673004150390625e-05,cuda,10000,10000
weather/fog_sev_4,weather,4,False,0.10000000149011612,0.00023549795150756836,cuda,10000,10000
digital/contrast_sev_3,digital,3,False,0.15000000596046448,9.131431579589844e-05,cuda,10000,10000
digital/jpeg_compression_sev_2,digital,2,False,0.15000000596046448,0.00010955333709716797,cuda,10000,10000
digital/contrast_sev_2,digital,2,False,0.15000000596046448,6.330013275146484e-05,cuda,10000,10000
weather/frost_sev_1,weather,1,False,0.15000000596046448,4.798173904418945e-05,cuda,10000,10000
